name,min,max,cardinality,num_unique_values
t.kind_id,1,7,2528312,6
t.production_year,1880,2019,2528312,133
t.id,1,2528312,2528312,2528312
mc.id,1,2609129,2609129,2609129
mc.company_id,1,234997,2609129,234997
mc.company_type_id,1,2,2609129,2
mc.movie_id,2,2525745,2609129,1087236
ci.id,1,36244344,36244344,36244344
ci.person_id,1,4061926,36244344,4051810
ci.role_id,1,11,36244344,11
ci.movie_id,1,2525975,36244344,2331601
mi.id,1,14835720,14835720,14835720
mi.info_type_id,1,110,14835720,71
mi.movie_id,1,2526430,14835720,2468825
mi_idx.id,1,1380035,1380035,1380035
mi_idx.info_type_id,99,113,1380035,5
mi_idx.movie_id,2,2525793,1380035,459925
mk.id,1,4523930,4523930,4523930
mk.keyword_id,1,134170,4523930,134170
mk.movie_id,2,2525971,4523930,476794
it.id,1,113,113,113
mii.info,0,8000000001,8000000002
