name,min,max,cardinality,num_unique_values
date_dim.d_month_seq,12.0,1235.0,73049,2401
date_dim.d_year,3.0,2004.0,73049,201
date_dim.d_dow,1.0,2.0,73049,7
date_dim.d_moy,1.0,12.0,73049,12
date_dim.d_date,3.0,1033084800.0,73049,47483
date_dim.d_quarter_name,1.0,3.0,73049,801
date_dim.d_qoy,1.0,4.0,73049,4
date_dim.d_dom,1.0,28.0,73049,31
date_dim.d_week_seq,49,211262124854,73049,10602
date_dim.d_date_sk,14131134785925682,14131164901029680,73049,73293
store_sales.ss_net_profit,0.0,25000.0,2879987999,1525675
store_sales.ss_quantity,0.0,100.0,2879987999,100
store_sales.ss_net_paid,0.0,0.0,2879987999,1288962
store_sales.ss_sales_price,0.0,200.0,2879987999,19852
store_sales.ss_cdemo_sk,49,13855161578958896,2879987999,1939819
store_sales.ss_promo_sk,49,825569328,2879987999,1481
store_sales.ss_store_sk,49,825241648,2879987999,497
store_sales.ss_customer_sk,49,3544948840219029552,2879987999,11937583
store_sales.ss_sold_date_sk,14131151882432822,14131151915856946,2879987999,1827
store_sales.ss_sold_time_sk,215691571248,237115881785,2879987999,47013
store_sales.ss_ticket_number,49,926097762357856972848,2879987999,240594880
store_sales.ss_item_sk,49,56282059911216,2879987999,296387
store_sales.ss_addr_sk,49,15252632267403312,2879987999,5962643
store_sales.ss_hdemo_sk,49,926036016,2879987999,7268
store_returns.sr_return_amt,10000.0,10000.0,287999764,671586
store_returns.sr_cdemo_sk,49,13855161578958896,287999764,1939819
store_returns.sr_ticket_number,1,240000000,287999764,169676054
store_returns.sr_returned_date_sk,14131151882433072,14131151915987506,287999764,2015
store_returns.sr_item_sk,49,56282059911216,287999764,296387
store_returns.sr_customer_sk,49,3544948840219029552,287999764,11937583
store_returns.sr_reason_sk,49,13877,287999764,65
store_returns.sr_store_sk,49,825241648,287999764,497
catalog_sales.cs_net_paid,0.0,0.0,1439980416,1814165
catalog_sales.cs_net_profit,1.0,1.0,1439980416,2073163
catalog_sales.cs_quantity,0.0,100,1439980416,100
catalog_sales.cs_ship_hdemo_sk,49,926036016,1439980416,7268
catalog_sales.cs_sales_price,500.0,500.0,1439980416,29629
catalog_sales.cs_promo_sk,49,825569328,1439980416,1481
catalog_sales.cs_bill_customer_sk,49,3544948840219029552,1439980416,11937583
catalog_sales.cs_ship_addr_sk,48,15252632267403312,1439980416,5962643
catalog_sales.cs_ship_mode_sk,49,12848,1439980416,20
catalog_sales.cs_ship_customer_sk,49,3544948840219029552,1439980416,11937583
catalog_sales.cs_bill_addr_sk,49,15252632267403312,1439980416,5962643
catalog_sales.cs_warehouse_sk,0.0,20,1439980416,20
catalog_sales.cs_bill_hdemo_sk,49,926036016,1439980416,7268
catalog_sales.cs_ship_cdemo_sk,49,13855161578958896,1439980416,1939819
catalog_sales.cs_sold_time_sk,48,241427495225,1439980416,86137
catalog_sales.cs_catalog_page_sk,49,215640846391,1439980416,17102
catalog_sales.cs_ship_date_sk,14131151882432823,14131151915922484,1439980416,1934
catalog_sales.cs_order_number,49,907795133472223277104,1439980416,162115504
catalog_sales.cs_bill_cdemo_sk,49,13855161578958896,1439980416,1939819
catalog_sales.cs_call_center_sk,49,1313362877,1439980416,42
catalog_sales.cs_item_sk,49,56282059911216,1439980416,301743
catalog_sales.cs_sold_date_sk,14131151882432821,14131151915857204,1439980416,1842
catalog_returns.cr_return_amount,10000.0,10000.0,143996756,888379
catalog_returns.cr_call_center_sk,49,13362,143996756,42
catalog_returns.cr_returning_customer_sk,49,3544948840219029552,143996756,11936864
catalog_returns.cr_returned_date_sk,14131151882433073,14131151916053044,143996756,2116
catalog_returns.cr_order_number,49,907795133472223277104,143996756,96186664
catalog_returns.cr_item_sk,49,56282059911216,143996756,296387
catalog_returns.cr_returning_addr_sk,49,15252632267403312,143996756,5962643
web_sales.ws_net_profit,1.0,300.0,720000376,2019525
web_sales.ws_quantity,49,3223600,720000376,100
web_sales.ws_net_paid,0.0,0.0,720000376,1757277
web_sales.ws_web_page_sk,49,858796080,720000376,2997
web_sales.ws_sales_price,50.0,200.0,720000376,29611
web_sales.ws_ship_mode_sk,49,12848,720000376,20
web_sales.ws_ship_addr_sk,49,15252632267403312,720000376,5962643
web_sales.ws_bill_hdemo_sk,49,926036016,720000376,7268
web_sales.ws_ship_customer_sk,49,3544948840219029552,720000376,11862362
web_sales.ws_ship_hdemo_sk,49,926036016,720000376,7268
web_sales.ws_bill_customer_sk,49,3544948840219029552,720000376,11862085
web_sales.ws_bill_addr_sk,49,15252632267403312,720000376,5962285
web_sales.ws_promo_sk,49,825569328,720000376,1481
web_sales.ws_web_site_sk,49,13620,720000376,54
web_sales.ws_ship_cdemo_sk,49,13855161578958896,720000376,1939819
web_sales.ws_warehouse_sk,49,12848,720000376,20
web_sales.ws_sold_date_sk,14131151882432823,14131151915922994,720000376,1827
web_sales.ws_order_number,49,907795133472223277104,720000376,60586860
web_sales.ws_sold_time_sk,49,241427495225,720000376,86137
web_sales.ws_item_sk,49,56282059911216,720000376,301743
web_sales.ws_ship_date_sk,14131151882432823,14131151915922994,720000376,1954
web_returns.wr_return_amt,10000.0,10000.0,71997522,814659
web_returns.wr_web_page_sk,49,858796080,71997522,2997
web_returns.wr_order_number,49,907795133472223277104,71997522,42667804
web_returns.wr_reason_sk,49,13877,71997522,65
web_returns.wr_item_sk,49,56282059911216,71997522,296387
web_returns.wr_returning_cdemo_sk,49,13855161578958896,71997522,1939819
web_returns.wr_returned_date_sk,14131151882432825,14131151932239922,71997522,2195
web_returns.wr_returning_addr_sk,49,15252632267403312,71997522,5962643
web_returns.wr_refunded_addr_sk,49,15252632267403312,71997522,5962643
web_returns.wr_refunded_cdemo_sk,49,13855161578958896,71997522,1939819
item.i_current_price,0.99,118.0,300000,9690
item.i_manufact_id,4.0,1029.0,300000,988
item.i_category,1.0,3.0,300000,10
item.i_color,1.0,6.0,300000,92
item.i_brand,4.0,4.0,300000,706
item.i_class,1.0,4.0,300000,99
item.i_manager_id,1.0,100.0,300000,100
item.i_item_id,0,160000,300000,150970
item.i_item_sk,49,56282059911216,300000,296387
customer_address.ca_city,1.0,1.0,6000000,986
customer_address.ca_country,1.0,1.0,6000000,1
customer_address.ca_gmt_offset,-8.0,-5.0,6000000,6
customer_address.ca_zip,9.0,400.0,6000000,9322
customer_address.ca_county,5.0,5.0,6000000,1846
customer_address.ca_state,1.0,51,6000000,51
customer_address.ca_zip,1,10000,6000000,9282
customer_address.ca_address_sk,49,15252632267403312,6000000,5962643
